,brand,model,price,engine,fuel,bodytype,transmission,colour,mileage,year,owners,doors,phone,county
17,Audi A6,40TDI 204HP S tronic SE,"€43,995",2.0,Diesel,Saloon,Automatic,Grey,"44,200 km",2020 (202),"['1', 'owner']","['4', 'doors']",(041) 213 4062,Louth
18,Audi A1,1.4TFSI 125 S-TRONIC **AUTO**,"€14,995",1.4,Petrol,Hatchback,Automatic,Beige,"112,385 km",2014 (141),"['1', 'owner']","['5', 'doors']",(041) 980 5505,Louth
19,Audi A3,1.6TDI 116 S Line Saloon,"€28,950",1.6,Diesel,Saloon,Manual,Brilliant Black,"109,453 km",2018 (182),"['1', 'owner']","['4', 'doors']",(096) 79000,Mayo
20,Audi A1,30 TFSI 110HP S line,"€36,999",1.0,Petrol,Hatchback,Manual,Arrow Grey,"5,000 km",2022 (222),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
21,BMW 1 Series,116d SE Business 5-door,"€28,900",1.5,Diesel,Hatchback,Manual,Jet Black,"49,244 km",2019 (192),"['1', 'owner']","['5', 'doors']",(021) 235 5107,Cork
22,Audi A3,30 TFSI S-Line 110HP*Full Leather Seats*,"€39,950",1.0,Petrol,Hatchback,Manual,Blue,"1,000 km",2022 (221),"['2', 'owners']","['5', 'doors']",(01) 513 6903,Dublin
23,Romeo Giulietta,1.4 TB MULTIAIR VELO VELOCE 5DR,"€10,950",1.4,Petrol,Hatchback,Manual,Grey,"127,000 km",2012,"['2', 'owners']","['5', 'doors']","(01) 450 7599, 087 190 5146",Dublin
24,Audi A1,SPORTBACK 1.0 TSI SLINE // IMMACULATE CON DITION ORIGINAL IRISH CAR // ALLOYS // HALF LEATHER // BLUETOOTH // AIR-CON // MFSW // NAAS ROAD AUTOS EST 1,"€16,950",1.0,Petrol,Hatchback,Manual,White,"116,999 km",2016 (162),"['1', 'owner']","['5', 'doors']",(01) 456 4074,Dublin
25,Alfa Romeo Giulia,2.2 TD SUPER AUTOMATIC 150BHP MODEL // SERVICE HISTORY // FULL LEATHER INTERIOR // HEATED SEATS // REVERSE CAMERA // FINANCE THIS CAR FROM ONLY €109 P,"€28,900",2.2,Diesel,Saloon,Automatic,Blue,"64,391 km",2018 (181),"['1', 'owner']","['4', 'doors']",(01) 456 9562,D22XK49
26,Hyundai Santa Fe,2.2 CRDi 2WD Executive Plus 7 Seater,"€47,995",2.2,Diesel,SUV,Manual,Blue,"47,000 km",2020 (202),"['1', 'owner']","['5', 'doors']",(01) 485 1252,Dublin
27,Honda Jazz,DAA-GP5 HYBRID 5DR AUTO,"€14,800",1.5,Petrol Hybrid,Hatchback,Automatic,White,"59,324 km",2017 (171),"['1', 'owner']","['5', 'doors']",(021) 475 7261,Cork
28,Romeo Giulietta,1.4 Lusso Hatchback Petrol Manual (120bhp),"€9,995",1.4,Petrol,Hatchback,Manual,Red,"86,000 km",2012,"['2', 'owners']","['5', 'doors']","(01) 821 6622, 086 600 4047",Dublin
29,Alfa Romeo 4C,1.7 TBI 240 BHP DCT COUPE.FINANCE ARRANGED.WWW.SARSFIELDMOTORS.IE,"€79,950",1.7,Petrol,Coupe,Automatic,Red,"45,999 km",2014 (142),"['2', 'owners']","['2', 'doors']","(01) 473 8906, 087 963 0691",Dublin
30,Audi A3,"A3 SPORTBACK 2.0 30TDI 116BHP SE WITH COMFORT PACK *WAS ?39,900 NOW ?37,995*","€37,995",2.0,Diesel,Hatchback,Manual,Grey,500 km,2022 (222),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
31,Audi A3,30 TDI 116HP Attraction,"€34,900",2.0,Diesel,Hatchback,Manual,Brilliant Black,150 km,2022 (222),"['1', 'owner']","['4', 'doors']","(041) 213 6203, (041) 213 6203",Louth
32,Hyundai i30,ESTATE 1.6 Diesel 110 BHP Deluxe Tourer 5DR,"€13,950",1.6,Diesel,Estate,Manual,White,"113,200 km",2016 (161),"['2', 'owners']","['5', 'doors']",(090) 647 4620,AN27
33,BMW 1 Series,118i SE  PETROL CALL 012163600,"€33,900",1.5,Petrol,Hatchback,Manual,Black,"53,500 km",2020 (202),"['1', 'owner']","['4', 'doors']",(01) 513 6352,Dublin
34,Audi A1,S LINE TFSI,"€12,950",1.2,Petrol,Hatchback,Manual,Red,"77,438 km",2013 (132),"['1', 'owner']","['3', 'doors']","(01) 450 7599, 087 190 5146",Dublin
35,Volkswagen Caddy,CADDY PV TREND TDI 102BHP  M5F 5,"€21,945",2.0,Diesel,MPV,Manual,Black,"42,400 km",2019 (192),"['2', 'owners']","['5', 'doors']",(091) 423 390,Galway
36,Audi A3,Saloon S Line 30TFSI,"€31,950",1.0,Petrol,Saloon,Manual,Ibis White,"69,246 km",2020 (201),"['1', 'owner']","['4', 'doors']",(051) 337 600,Waterford
37,Audi A1,SPORTBACK 1.4 TDI DIESEL,"€15,950",1.4,Diesel,Hatchback,Manual,Red,"126,124 km",2015 (152),"['3', 'owners']","['5', 'doors']",(01) 697 2969,Dublin
38,Audi A5,BLACK EDITION S LINE PAN ROOF,"€42,900",2.0,Diesel,Hatchback,Automatic,Black,"89,000 km",2019 (192),"['1', 'owner']","['5', 'doors']",(01) 513 6352,Dublin
39,Audi A1,* LEATHER SEATS * 1.4 TFSI SPORTBACK,"€15,950",1.4,Petrol,Hatchback,Automatic,White / Grey,"94,329 km",2013 (131),"['1', 'owner']","['5', 'doors']",089 402 9721,Dublin
40,Audi A1,"1.0TFSI S-LINE BLACK EDITION **4,500KMS**","€20,900",1.0,Petrol,Hatchback,Manual,White,"4,573 km",2017 (171),"['2', 'owners']","['5', 'doors']",(01) 801 7777,Meath
41,Abarth 500,1.4L Hatchback Petrol Manual,"€12,250",1.4,Petrol,Hatchback,Manual,Grey,"122,700 km",2013 (131),"['2', 'owners']","['3', 'doors']",085 737 8370,"class=""fpa-actions__sub-title"">Dublin"
42,Audi A1,1.4 TFSI AUTO 3DR *LOW MILEAGE*,"€13,950",1.4,Petrol,Hatchback,Automatic,White,"66,000 km",2015 (151),"['1', 'owner']","['3', 'doors']","(01) 866 0900, 086 258 2332",Dublin
43,Audi A1,IRISH CAR 1.0TFSI ULTRA SE,"€15,899",1.0,Petrol,Hatchback,Manual,Red,"92,000 km",2016 (161),"['3', 'owners']","['5', 'doors']",(01) 495 1808,A094
44,Ford Fiesta,ST Line 1.0 100PS 5speed 5DR,"€14,945",1.0,Petrol,Hatchback,Manual,Red,"55,000 km",2017 (171),"['2', 'owners']","['4', 'doors']",(01) 462 4100,D24AX84
45,Alfa Romeo Giulia,2.2JTD 180BHP SUPER LUXURY AUTO,"€25,995",2.1,Diesel,Saloon,Automatic,Black,"139,320 km",2017 (172),"['2', 'owners']","['4', 'doors']",(061) 446 033,Limerick
46,Audi A1,SPORTBACK 1.6 TDI 90 4DR,"€14,950",1.6,Diesel,Hatchback,Manual,Red,"125,999 km",2014 (142),"['3', 'owners']","['5', 'doors']","(01) 450 7599, 087 190 5146",Dublin
47,BMW 4 Series,430D xDrive M Sport Auto 4 WHEEL DRIVE,"€43,900",3.0,Diesel,Coupe,Automatic,Grey,"69,900 km",2019 (191),"['2', 'owners']","['2', 'doors']",(01) 513 6352,Dublin
48,Audi A3,1.4 TFSI S TRONIC,"€28,995",1.4,Petrol,Saloon,Automatic,Red,"53,634 km",2019 (191),"['1', 'owner']","['4', 'doors']",(01) 522 2622,XKF3
49,Mercedes-Benz E-Class,"E200 D Avantgarde Auto, Full Leather, Heated Seats, Parktronic with reversing Camera, Sat Nav","€36,950",2.0,Diesel,Saloon,Automatic,Black,"93,763 km",2018 (181),"['1', 'owner']","['4', 'doors']",(01) 691 7760,Dublin
50,Audi A3,A3 SPORTBACK 1.6 30TDI 116BHP S- LINE BLACK EDITION,"€34,995",1.6,Diesel,Hatchback,Manual,Grey,"28,200 km",2020 (202),"['2', 'owners']","['4', 'doors']",(021) 601 9040,Cork
51,Audi A1,1.2TFSI 86BHP S-LINE IRISH CAR .. FINANCE AVAILABLE .. BAD CREDIT NO PROBLEM .. WARRANTY INCLUDED,"€14,999",1.2,Petrol,Hatchback,Manual,Silver,"94,949 km",2014 (142),"['2', 'owners']","['5', 'doors']","(01) 460 4434, 087 148 7212",Dublin
52,Audi A3,Saloon 1.6TDI 116BHP SE - S-Line Ext.,"€28,950",1.6,Diesel,Saloon,Manual,Ibis White,"77,515 km",2019 (191),"['1', 'owner']","['4', 'doors']",(090) 644 9250,H548
53,Audi A1,1.4 S-LINE Hatchback Petrol Auto (122bhp),"€13,950",1.4,Petrol,Hatchback,Automatic,Black,"99,191 km",2013 (131),"['1', 'owner']","['3', 'doors']","086 260 2889, 087 796 1810",Dublin
54,Audi A1,1.0 Hatchback Petrol Automatic Full Audi Service Record,"€17,400",1.0,Petrol,Hatchback,Automatic,White,"87,776 km",2015 (152),"['1', 'owner']","['3', 'doors']",(01) 296 3246,D14X5K2
55,Audi A1,1.0TFSI 95HP S-LINE 4DR,"€21,999",1.0,Petrol,Hatchback,Manual,Glacier White,"63,000 km",2018 (181),"['3', 'owners']","['4', 'doors']",(01) 902 3493,Dublin
56,Audi A3,S-Line 1.0TFSI 116HP,"€28,900",1.0,Petrol,Saloon,Manual,Blue,"94,000 km",2019 (191),"['3', 'owners']","['4', 'doors']",(023) 888 9019,Cork
57,Audi A3,"1.0TFSI 115 S-Tronic S Line 4Dr - Digital Dash , Full Leather Heated Seats , Diamond Turned Aalloys s","€41,500",1.0,Petrol,Saloon,Automatic,Grey,"19,900 km",2021 (211),"['2', 'owners']","['4', 'doors']",(01) 462 4100,D24AX84
58,Audi A1,SB 1.0TFSI 95BHP 4DR*SALE NOW ON STRAIGHT DEAL OFFERS*,"€16,450",1.0,Petrol,Hatchback,Manual,Black,"160,466 km",2016 (162),"['2', 'owners']","['4', 'doors']","(090) 974 1077, 087 638 5033",Galway
59,BMW 2 Series Gran Tourer,218d Luxury Gran Tourer,"€30,950",2.0,Diesel,Estate,Automatic,Mineral Grey,"83,625 km",2018 (181),"['2', 'owners']","['5', 'doors']",(061) 422 600,Limerick
60,Audi A3,Sportback 40 TFSI e 204HP S Tronic SE,"€38,950",1.4,Petrol Plug-in Hybrid,Hatchback,Automatic,Brilliant Black,"42,569 km",2021 (212),"['1', 'owner']","['4', 'doors']",(051) 337 600,Waterford
61,Audi Q3,Q3 2.0TDI 150BHP S-LINE S-T QUATTRO AUTOMATIC WITH COMFORT KEY,"€26,995",2.0,Diesel,SUV,Automatic,Grey,"102,893 km",2015 (152),"['2', 'owners']","['4', 'doors']",(021) 603 6468,Cork
62,Audi A3,30 TDI 116HP SE,"€30,450",1.6,Diesel,Saloon,Manual,Cosmos Blue (Metallic),"62,821 km",2020 (201),"['1', 'owner']","['4', 'doors']",(096) 79000,Mayo
63,Audi A3,TFSI 150HP S-T S ***RARE***  €500 ONE FOR ALL VOUCHER WITH PURCHASE,"€42,995",1.5,Petrol,Saloon,Automatic,Orange,"10,250 km",2021 (211),"['2', 'owners']","['4', 'doors']",(01) 485 1252,Dublin
64,Audi A1,"30 TFSI Black Pack - ""Price Includes €2,000 Scrappage""","€27,900",1.0,Petrol,Hatchback,Manual,Manhattan Grey (Metallic),"25,000 km",2022 (221),"['1', 'owner']","['4', 'doors']",(056) 775 1788,Kilkenny
65,Ford Puma,ST-Line X (Mild Hybrid) 125PS,"€31,500",1.0,Petrol Hybrid,Hatchback,Manual,Fantastic Red,"6,500 km",2022 (221),"['1', 'owner']","['5', 'doors']",(090) 649 0120,Westmeath
66,Audi A1,SPORTBACK 30 TFSI 110HP S-LINE 4DR,"€34,500",1.0,Petrol,Hatchback,Manual,Glacier White,22 km,2022 (222),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
67,Audi A4,A4 2.0TDI 120BHP WITH CRUISE CONTROL,"€16,995",2.0,Diesel,Saloon,Manual,Black,"116,095 km",2014 (141),"['2', 'owners']","['4', 'doors']",(021) 603 6468,Cork
68,Audi A3,1.4 TFSI S TRONIC**LEATHER HEATED SEATS**REVERSE CAM**FRONT AND REAR PARKING SENSORS**,"€17,890",1.4,Petrol,Hatchback,Automatic,White,"78,075 km",2015 (151),"['1', 'owner']","['5', 'doors']",(01) 485 1267,D12
69,BMW X3,2.0D  XDRIVE 20D M SPORT,"€52,950",2.0,Diesel,SUV,Automatic,Blue,"54,000 km",2019 (191),"['1', 'owner']","['5', 'doors']",(01) 513 6878,Wicklow
70,Alfa Romeo Giulia,2.2 TD SPECIALE.MASSIVE SERVICE HISTORY.FINANCE ARRANGED.WWW.SARSFIELDMOTORS.IE,"€22,998",2.1,Diesel,Saloon,Automatic,Black,"217,371 km",2017 (172),"['1', 'owner']","['4', 'doors']","(01) 473 8906, 087 963 0691",Dublin
71,Jaguar E-PACE,2.0d I4 D150 150PS FWD Manual,"€36,950",2.0,Diesel,SUV,Manual,White,"61,300 km",2020 (202),"['1', 'owner']","['5', 'doors']",(090) 647 4620,AN27
72,Audi A1,A1 SPORTBACK 1.0 30TFSI 116BHP S-LINE BLACK EDITION WITH COMFORT PACK,"€36,995",1.0,Petrol,Hatchback,Manual,Misano Red,500 km,2022 (222),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
73,Audi A1,1.4 AUTOMATIC,"€13,900",1.4,Petrol,Hatchback,Automatic,White,"111,999 km",2013 (131),"['1', 'owner']","['3', 'doors']",(01) 890 1921,PX34
74,Audi A3,30 TFSI 110HP S Line,"€39,950",1.0,Petrol,Saloon,Manual,Mythos Black (Metallic),"11,251 km",2021 (212),"['1', 'owner']","['4', 'doors']",(051) 337 600,Waterford
75,Audi A1,'Sport' Auto 1.4 3Dr,"€15,900",1.4,Petrol,Hatchback,Automatic,Black,"48,415 km",2014 (141),"['1', 'owner']","['3', 'doors']",(01) 283 2044,Dublin
76,Audi A3,SAL 1.6TDI 116HP SE 4DR,"€29,950",1.6,Diesel,Saloon,Manual,Grey,"59,064 km",2019 (191),"['1', 'owner']","['4', 'doors']",(045) 906 666,Kildare
77,Audi A3,A3 SPORTBACK 1.0 30TFSI 110BHP S-LINE WITH COMFORT PACK AND BLACK STYLING,"€39,995",1.0,Petrol,Hatchback,Manual,Daytona Grey (Pearl Effect),"14,868 km",2022 (221),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
78,Audi A3,"30 TFSI 110HP Attraction (ORIGINAL RRP €34930, SAVE €1180)","€33,750",1.0,Petrol,Saloon,Manual,Black,10 km,2022 (222),"['1', 'owner']","['4', 'doors']",(01) 858 0208,Dublin
79,Audi A3,1.0TFSI 115 S Line,"€25,950",1.0,Petrol,Hatchback,Manual,Blue,"91,500 km",2018 (182),"['1', 'owner']","['4', 'doors']",(091) 741 100,Galway
80,Audi A1,1.4 TFSI AUTOMATIC MODEL // NEW NCT // ALLOY WHEELS // AIR CONDITINING // FINANCE THIS CAR FROM ONLY €50 PER WEEK,"€13,450",1.4,Petrol,Hatchback,Automatic,White,"74,820 km",2013 (131),"['1', 'owner']","['5', 'doors']",(01) 456 9562,D22XK49
81,Alfa Romeo Giulia,"2.2 JTDM-2 180 Tecnica*Automatic*Alfa Service History*17"" Alloys*Sat Nav*Privacy Glass*Leather/Cloth Trim*Special Alfa White Paint*Finance Arranged*","€29,995",2.1,Diesel,Saloon,Automatic,White,"128,382 km",2018 (181),"['1', 'owner']","['4', 'doors']","(01) 413 3847, 086 792 2172",Dublin
82,Mercedes-Benz C-Class,C 180 AMG-Line,"€62,950",1.5,Petrol Hybrid,Saloon,Automatic,Grey,"10,933 km",2022 (221),"['1', 'owner']","['4', 'doors']",(021) 240 8600,Cork
83,Audi A1,"SPORTBACK 1.6 TDI 90 4DR, AA APPROVED, SERVICE HISTORY, TWO KEYS, NCT 07/24, BLUETOOTH, AIR CON, 12 MONTH WARRANTY, FINANCE AVAILABLE","€13,999",1.6,Diesel,Hatchback,Manual,Red,"88,117 km",2014 (141),"['5', 'owners']","['4', 'doors']","(01) 235 0730, 086 835 0075",Dublin
84,Audi A1,1.6 SE Hatchback Diesel Manual (116bhp),"€14,500",1.6,Diesel,Hatchback,Manual,Black,"54,508 km",2016 (162),"['2', 'owners']","['5', 'doors']",085 708 8333,"class=""fpa-actions__sub-title"">Dublin"
85,Romeo Giulietta,1.6 Turismo Hatchback Diesel Manual (105bhp),"€8,000",1.6,Diesel,Hatchback,Manual,Black,"106,000 km",2012,"['4', 'owners']","['5', 'doors']",083 092 6914,"class=""fpa-actions__sub-title"">Kilkenny"
86,Audi A3,SPORT 30 1.6 TDI (BLACK LEATHER+PARK SENSORS),"€24,950",1.6,Diesel,Hatchback,Manual,Black/black Leather,"121,180 km",2019 (191),"['1', 'owner']","['5', 'doors']","(091) 635 269, 087 925 4636",Galway
87,Audi A3,1.5tfsi 150HP Sline 4DR,"€31,900",1.5,Petrol,Saloon,Automatic,Black,"21,950 km",2019 (192),"['1', 'owner']","['4', 'doors']",(074) 913 4567,KR7D
88,Audi A1,1.4 TFSI S TRONIC SPORTBACK,"€13,450",1.4,Petrol,Hatchback,Automatic,Red,"92,000 km",2013 (131),"['1', 'owner']","['5', 'doors']",(01) 864 2400,Dublin
89,Audi A1,"1.0 TFSI S-LINE 5 DR 95BHP *53,000KMS*","€18,450",1.0,Petrol,Hatchback,Manual,Black,"53,887 km",2016 (162),"['2', 'owners']","['5', 'doors']",(01) 801 7777,Meath
90,BMW 1 Series,118i M Sport,"€41,900",1.5,Petrol,Hatchback,Manual,Black Sapphire Metallic Paint,"8,927 km",2022 (221),"['1', 'owner']","['5', 'doors']",(021) 235 5107,Cork
91,BMW 1 Series,116d Sport,"€34,400",1.5,Diesel,Hatchback,Manual,Mineral Grey,"23,524 km",2020 (201),"['1', 'owner']","['5', 'doors']",(021) 235 5107,Cork
92,Alfa Romeo Giulia,2.2TD 150hp Super Sport Auto 4dr  Full Service History Automatic Gearbox,"€31,000",2.1,Diesel,Saloon,Automatic,Blue,"65,000 km",2018 (182),"['1', 'owner']","['4', 'doors']",(01) 869 2170,Dublin
93,Martin DBS,5.9 V12 TOUCHTRONIC COUPE=LOW MILEAGE//IRISH CAR=09 D REG//RARE 2+0 SEATING CONFIGURATION=EXTENSIVE ASTON MARTIN SERVICE HISTORY FILE//TAILORED FINANC,"€129,995",5.9,Petrol,Coupe,Automatic,Silver,"53,107 km",2009,"['3', 'owners']","['2', 'doors']",(01) 832 1222,Dublin
94,Ford Focus,ST-Line 125 BHP **FINANCE AVAILABLE**,"€23,495",1.0,Petrol,Hatchback,Manual,Red,"56,004 km",2019 (191),"['2', 'owners']","['4', 'doors']",(022) 33054,Cork
95,Audi A3,A3 SALOON 1.0TFSI 116BHP SE WITH S-LINE EXT PACK,"€27,995",1.0,Petrol,Saloon,Manual,White,"49,254 km",2019 (191),"['2', 'owners']","['4', 'doors']",(021) 601 9040,Cork
96,Audi A1,1.6 TDI SPORT SPORTBACK 104 104BHP SPORTBK 105PS 5DR,"€13,450",1.6,Diesel,Hatchback,Manual,Black,"70,809 km",2013 (131),"['2', 'owners']","['5', 'doors']",087 207 0409,Dublin
97,BMW 1 Series,118i Sport,"€38,900",1.5,Petrol,Hatchback,Automatic,Alpine White,"21,961 km",2022 (221),"['1', 'owner']","['5', 'doors']",(021) 235 5107,Cork
98,Honda Jazz,1.3 I-VTEC SE 5DR,"€16,950",1.3,Petrol,Hatchback,Manual,Grey,"65,000 km",2019 (191),"['1', 'owner']","['5', 'doors']","(051) 337 900, 086 061 1563",Waterford
99,Audi A1,* TWO TONE COLOUR * 1.0 TFSI AUTOMATIC,"€20,950",1.0,Petrol,Hatchback,Automatic,White / Grey,"90,319 km",2017 (172),"['1', 'owner']","['5', 'doors']",089 402 9721,Dublin
100,Honda HR-V,1.6 i-DTEC ES,"€18,900",1.6,Diesel,SUV,Manual,Blue,"111,000 km",2016 (161),"['2', 'owners']","['5', 'doors']",(061) 416 000,Limerick
101,Audi A3,Saloon 1.6TDI 116HP SE - Future Now Pack - Finance From €328pm,"€30,750",1.6,Diesel,Saloon,Manual,Brilliant Black,"49,938 km",2020 (202),"['1', 'owner']","['4', 'doors']",(071) 911 5333,Sligo
102,Mercedes-Benz A-Class,A 250 e AMG Line Auto,"€43,950",1.3,Petrol Plug-in Hybrid,Hatchback,Automatic,Iridium Silver Metallic,"13,000 km",2021 (211),"['1', 'owner']","['5', 'doors']",(01) 665 6600,Dublin
103,Jaguar F-PACE,2.0 i4 D 180PS Prestige Auto 4WD,"€37,950",2.0,Diesel,SUV,Automatic,Grey,"77,000 km",2017 (171),"['2', 'owners']","['5', 'doors']",(01) 513 6367,Dublin
104,Audi A1,1.0TFSI 95HP S-LINE 2DR,"€18,999",1.0,Petrol,Hatchback,Manual,Mythos Black (Metallic),"64,001 km",2017 (172),"['2', 'owners']","['2', 'doors']",(01) 902 3493,Dublin
105,Alfa Romeo Giulia,2.1 Super Saloon Diesel Automatic RWD (150bhp),"€24,750",2.1,Diesel,Saloon,Automatic,Grey,"155,000 km",2017 (172),"['1', 'owner']","['4', 'doors']","(01) 826 6340, 087 829 2727",Dublin
106,Audi A3,SALOON 1.6TDI 116HP S-LINE 4DR,"€29,999",1.6,Diesel,Saloon,Manual,Ara Blue Crystal Effect,"46,001 km",2019 (192),"['2', 'owners']","['4', 'doors']",(01) 902 3493,Dublin
107,Audi A3,SALOON 30 TFSI 110HP SE €312 p/m PCP,"€32,775",1.0,Petrol,Saloon,Manual,Grey,"11,767 km",2022 (221),"['1', 'owner']","['4', 'doors']","(053) 919 2200, 087 055 9242",Wexford
108,Hyundai i20,DELUXE AUTO *COMING SOON*,"€17,950",1.4,Petrol,Hatchback,Automatic,White,"90,250 km",2018 (181),"['2', 'owners']","['5', 'doors']",(091) 771 111,Galway
109,Hyundai i30,Petrol Deluxe NLine,"€24,995",1.0,Petrol,Hatchback,Manual,Grey,"39,002 km",2021 (212),"['1', 'owner']","['5', 'doors']",(021) 475 7333,Cork
110,Mercedes-Benz A-Class,A250e Saloon AMG @ MERCEDES-BENZ SOUTH DUBLIN,"€51,945",1.3,Petrol Plug-in Hybrid,Saloon,Automatic,Mountain Grey,"7,808 km",2022 (221),"['1', 'owner']","['4', 'doors']",(01) 236 9200,Dublin
111,Audi A3,SALOON 1.0TFSI 115HP SE 4DR,"€27,999",1.0,Petrol,Saloon,Manual,Brilliant Black,"30,935 km",2019 (191),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
112,Audi A3,SALOON 30 TFSI 110HP SE,"€34,999",1.0,Petrol,Saloon,Manual,Ibis White,"2,001 km",2022 (222),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
113,Audi A3,A3 SPORTBACK 1.0 30TFSI 110BHP S-LINE WITH COMFORT PACK AND BLACK STYLING,"€38,995",1.0,Petrol,Hatchback,Manual,Ibis White,"12,934 km",2022 (221),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
114,Audi A1,1.2 TFSI SPORT SPORTBACK,"€16,900",1.2,Petrol,Hatchback,Manual,Silver,"84,898 km",2015 (151),"['2', 'owners']","['4', 'doors']","(041) 213 6203, (041) 213 6203",Louth
115,Jaguar F-PACE,2.0 D (180PS) Prestige Automatic,"€35,950",2.0,Diesel,SUV,Automatic,Loire Blue Metallic,"107,000 km",2017 (171),"['3', 'owners']","['5', 'doors']",(01) 513 6367,Dublin
116,Alfa Romeo Stelvio,AWD AUTO SPECIALE,"€37,995",2.1,Diesel,Estate,Automatic,Blue,"58,739 km",2018 (181),"['1', 'owner']","['5', 'doors']",(01) 278 4597,Dublin
117,Cupra Formentor,FORMENTOR VZ 2.0 TSI 310BHP  DA 5,"€71,995",2.0,Petrol,SUV,Automatic,Black,"1,000 km",2022 (222),"['1', 'owner']","['5', 'doors']",(041) 213 4062,Louth
